"AGEP","SCHL","SSP","WAGP","WKHP","DIS","HICOV","PERNP","PINCP","POVPIP","POVERTY"
23,"19",0,2000,40,2,1,2000,2000,NA,NA
86,"18",7200,0,NA,1,1,0,31200,NA,NA
19,"18",0,10000,40,2,1,10000,10000,NA,NA
46,"12",0,0,NA,1,1,0,0,0,TRUE
19,"19",0,0,NA,2,2,0,0,NA,NA
21,"20",0,2500,15,2,1,2500,2500,NA,NA
18,"18",0,2000,15,2,1,2000,2000,NA,NA
53,"20",0,0,NA,2,2,0,0,NA,NA
27,"19",0,25000,30,2,1,25000,25000,NA,NA
18,"18",0,0,NA,2,1,0,0,NA,NA
23,"21",0,24000,40,2,2,24000,24000,186,FALSE
22,"19",0,2500,10,2,1,2500,2500,NA,NA
17,"19",0,9500,15,2,1,9500,9500,NA,NA
36,"19",0,50000,50,2,2,50000,50000,NA,NA
22,"19",0,0,NA,2,1,0,0,NA,NA
24,"19",0,10700,40,2,1,10700,10700,82,TRUE
18,"19",0,2000,15,2,1,2000,2000,NA,NA
81,"13",0,0,NA,1,1,0,0,NA,NA
19,"19",0,3700,35,2,1,3700,3700,NA,NA
12,"09",NA,NA,NA,2,1,NA,NA,NA,NA
18,"16",0,0,NA,2,1,0,0,NA,NA
22,"12",0,0,NA,1,1,0,0,NA,NA
19,"19",0,10000,20,2,1,10000,10000,NA,NA
23,"20",0,8000,35,2,1,8000,8000,NA,NA
21,"19",0,7000,15,2,1,7000,7000,NA,NA
88,"14",14400,0,NA,1,1,0,38500,NA,NA
40,"16",0,0,NA,1,1,0,0,0,TRUE
18,"18",0,5000,27,2,1,5000,5000,NA,NA
19,"16",0,9000,12,2,1,9000,9000,NA,NA
25,"18",0,2000,19,2,1,2000,2000,NA,NA
40,"19",0,0,NA,1,1,0,0,0,TRUE
21,"16",0,22800,38,2,1,22800,22800,NA,NA
21,"18",0,5500,20,2,1,5500,5500,NA,NA
23,"19",0,8000,40,2,1,8000,8000,NA,NA
23,"19",0,8000,40,2,1,8000,8000,NA,NA
21,"19",0,500,5,2,1,500,500,NA,NA
20,"19",0,7000,20,2,1,7000,7000,NA,NA
21,"19",0,3000,11,2,1,4000,4000,NA,NA
88,"16",7900,0,NA,1,1,0,7900,NA,NA
25,"21",0,20000,20,2,1,20000,20000,NA,NA
40,"16",0,0,NA,1,1,0,0,0,TRUE
20,"18",0,4600,25,2,1,4600,4600,NA,NA
37,"19",11800,0,NA,1,1,0,11800,NA,NA
25,"18",0,2000,19,2,1,2000,2000,NA,NA
21,"19",0,1000,10,2,1,1000,1000,NA,NA
19,"18",0,5900,22,2,1,5900,5900,NA,NA
23,"16",0,34200,60,2,1,34700,34700,NA,NA
20,"19",0,2000,20,2,1,2000,2000,NA,NA
18,"19",0,1000,16,2,1,10000,10000,NA,NA
18,"18",0,5000,15,2,1,5000,5000,NA,NA
52,"19",0,0,NA,1,1,0,0,NA,NA
18,"16",0,0,NA,2,1,0,0,NA,NA
12,"09",NA,NA,NA,2,1,NA,NA,NA,NA
39,"18",0,34500,40,2,1,34500,34500,269,FALSE
88,"14",14400,0,NA,1,1,0,38500,NA,NA
19,"18",0,5900,22,2,1,5900,5900,NA,NA
19,"19",0,800,10,2,1,800,800,NA,NA
25,"20",0,19200,27,2,2,19200,19200,NA,NA
20,"16",0,5000,20,2,1,5000,5000,NA,NA
21,"19",0,15000,35,2,1,15000,15000,NA,NA
21,"19",0,0,NA,2,1,0,0,NA,NA
23,"19",0,7000,15,2,1,7000,7000,NA,NA
92,"22",12000,0,NA,1,1,0,30000,NA,NA
46,"16",0,0,NA,1,2,0,0,NA,NA
28,"19",0,16000,40,2,2,16000,16000,NA,NA
20,"19",0,18000,20,2,1,18000,20400,NA,NA
49,"16",0,0,NA,1,1,0,7200,NA,NA
20,"16",0,0,NA,2,1,0,0,NA,NA
55,"20",0,34000,40,1,1,34000,34000,NA,NA
46,"14",0,5700,25,2,1,5700,5700,43,TRUE
42,"16",0,0,NA,1,1,0,0,0,TRUE
20,"19",0,1000,18,2,1,1000,1000,NA,NA
22,"18",0,2000,40,2,1,2000,2000,NA,NA
21,"16",0,19000,40,2,1,19000,19000,NA,NA
21,"16",0,0,NA,2,2,0,0,NA,NA
60,"19",0,0,NA,1,1,0,0,NA,NA
22,"19",0,1400,15,2,1,1400,1400,NA,NA
88,"14",14400,0,NA,1,1,0,38500,NA,NA
46,"16",0,5600,40,2,2,5600,5600,NA,NA
18,"19",0,0,NA,2,1,0,0,NA,NA
37,"18",0,0,NA,2,2,0,0,NA,NA
38,"19",0,10400,14,1,1,10400,10400,80,TRUE
20,"18",0,6000,40,2,1,6000,6000,NA,NA
27,"19",0,25000,30,2,1,25000,25000,NA,NA
84,"13",9900,0,NA,1,1,0,9900,NA,NA
20,"19",0,5000,30,2,1,5000,5000,NA,NA
18,"18",0,18000,30,2,1,18000,18000,NA,NA
22,"19",0,3000,25,2,1,3000,3000,NA,NA
63,"16",10800,0,NA,1,1,0,10800,NA,NA
20,"19",0,2000,40,2,1,2000,2000,NA,NA
20,"19",0,200,20,1,1,200,200,NA,NA
23,"19",0,4000,25,2,1,4000,4000,NA,NA
31,"19",0,0,NA,1,2,0,600,NA,NA
19,"19",0,920,30,2,2,920,920,NA,NA
21,"19",0,1200,10,2,1,1200,1200,NA,NA
21,"19",0,1200,10,1,1,1200,1200,NA,NA
23,"18",0,25000,35,2,1,25000,25000,NA,NA
30,"18",0,0,NA,2,2,0,0,NA,NA
21,"16",0,7200,15,2,1,7200,7200,NA,NA
19,"19",0,1200,20,2,1,1200,1200,NA,NA
29,"16",0,9000,50,1,2,9000,9000,NA,NA
92,"16",13500,0,NA,1,1,0,17400,NA,NA
73,"01",10800,2900,20,1,1,2900,13700,115,FALSE
20,"19",0,7000,20,2,1,7000,7000,NA,NA
23,"18",0,15000,40,2,1,15000,15010,NA,NA
39,"14",0,1600,66,2,2,1600,1600,NA,NA
84,"21",12100,0,NA,1,1,0,22110,NA,NA
21,"18",0,0,NA,2,1,0,0,NA,NA
18,"18",0,0,NA,2,1,0,0,NA,NA
22,"19",0,0,NA,2,1,0,0,NA,NA
25,"19",0,15000,50,2,1,15000,15000,NA,NA
81,"16",25000,0,NA,1,1,0,25000,NA,NA
20,"16",0,5000,20,2,1,5000,5000,NA,NA
34,"17",0,15000,40,2,2,15000,15000,NA,NA
21,"18",0,2500,35,2,1,2500,2500,NA,NA
38,"19",0,200,48,1,1,1100,1100,8,TRUE
19,"19",0,15000,25,2,2,15000,15000,NA,NA
20,"19",0,1000,18,2,1,1000,1000,NA,NA
10,"08",NA,NA,NA,2,1,NA,NA,NA,NA
64,"16",0,0,NA,2,2,0,0,NA,NA
29,"17",8500,0,NA,1,1,0,12000,92,TRUE
55,"20",0,34000,40,1,1,34000,34000,NA,NA
62,"11",0,0,NA,2,2,0,0,NA,NA
22,"19",0,8500,40,2,1,8500,8500,NA,NA
57,"01",0,0,NA,1,1,0,7200,NA,NA
31,"19",0,12000,25,2,1,12000,12000,NA,NA
46,"19",0,0,NA,1,2,0,0,NA,NA
40,"21",0,0,NA,2,2,0,0,NA,NA
19,"19",0,6000,18,2,1,6000,6000,NA,NA
23,"19",0,18000,20,2,2,18000,18000,NA,NA
19,"19",0,9000,25,2,1,9000,9000,NA,NA
22,"19",0,2500,10,2,1,2500,2500,NA,NA
30,"21",0,4500,20,2,2,4500,4500,NA,NA
19,"19",0,1000,40,2,1,1000,1000,NA,NA
33,"23",0,25000,40,2,1,25000,25000,NA,NA
21,"19",0,5500,25,2,1,5500,5500,NA,NA
36,"11",0,0,NA,2,1,0,0,0,TRUE
37,"21",0,6000,20,2,1,6000,6000,NA,NA
9,"07",NA,NA,NA,2,1,NA,NA,NA,NA
21,"01",0,0,NA,1,1,0,9000,NA,NA
68,"19",0,0,NA,1,1,0,0,NA,NA
34,"01",0,0,NA,1,1,0,0,NA,NA
92,"16",13500,0,NA,1,1,0,17400,NA,NA
27,"19",0,14000,18,2,1,14000,14000,NA,NA
17,"14",0,0,NA,2,1,0,0,NA,NA
83,"22",9900,0,NA,1,1,0,9900,NA,NA
21,"19",0,5500,25,2,1,5500,5500,NA,NA
19,"18",0,5900,22,2,1,5900,5900,NA,NA
53,"20",0,0,NA,2,2,0,0,NA,NA
46,"18",0,0,NA,1,2,0,0,NA,NA
20,"16",0,0,NA,2,1,0,0,NA,NA
22,"19",0,7500,40,2,1,7500,7500,NA,NA
25,"19",0,2200,35,2,1,2200,2200,NA,NA
20,"19",0,4500,17,2,1,4500,4500,NA,NA
23,"18",0,25000,35,2,1,25000,25000,NA,NA
16,"14",0,0,NA,2,1,0,0,NA,NA
21,"19",0,1700,6,2,1,1700,1700,NA,NA
19,"16",0,0,NA,2,1,0,0,NA,NA
76,"19",14000,0,NA,1,1,0,14000,NA,NA
52,"01",0,0,NA,1,1,0,3800,NA,NA
1,NA,NA,NA,NA,2,1,NA,NA,NA,NA
19,"19",0,9000,20,2,1,9000,9000,NA,NA
18,"19",0,0,NA,2,1,0,0,NA,NA
19,"19",0,6000,18,2,1,6000,6000,NA,NA
20,"16",0,0,NA,2,2,0,0,NA,NA
38,"15",0,0,NA,2,2,0,0,NA,NA
88,"14",14400,0,NA,1,1,0,38500,NA,NA
18,"19",0,3000,10,2,1,3000,3000,NA,NA
24,"18",0,0,NA,2,1,0,0,NA,NA
48,"16",0,0,NA,1,1,0,3600,NA,NA
32,"17",0,12000,40,1,2,12000,12000,NA,NA
15,"12",0,0,NA,2,1,NA,0,NA,NA
92,"16",13500,0,NA,1,1,0,17400,NA,NA
25,"20",0,8000,40,2,1,8000,8000,NA,NA
15,"12",0,0,NA,1,1,NA,0,NA,NA
34,"22",0,1e+05,40,2,1,1e+05,1e+05,NA,NA
20,"19",0,7000,25,2,1,7000,7000,NA,NA
22,"19",0,8500,40,2,1,8500,8500,NA,NA
24,"19",0,32000,40,2,1,32000,32000,NA,NA
25,"17",0,0,NA,1,1,0,4300,NA,NA
82,"16",8400,0,NA,1,1,0,8400,NA,NA
21,"19",0,0,NA,2,1,0,0,NA,NA
55,"16",0,0,NA,1,1,0,0,0,TRUE
23,"18",0,15000,40,2,1,15000,15010,NA,NA
24,"19",0,27000,30,1,2,27000,27000,NA,NA
24,"19",0,0,NA,2,1,0,0,NA,NA
25,"19",0,45000,30,2,1,45000,45000,NA,NA
36,"18",0,0,NA,2,2,0,840,NA,NA
55,"12",0,0,NA,2,2,0,800,NA,NA
21,"19",0,7000,20,2,1,7000,7000,NA,NA
20,"19",0,8000,40,2,1,8000,8000,NA,NA
23,"19",0,8000,20,1,1,8000,8000,NA,NA
18,"18",0,0,NA,2,1,0,0,NA,NA
20,"19",0,1700,25,2,1,1700,1700,NA,NA
18,"19",0,2500,6,2,1,2500,2500,NA,NA
15,"12",0,0,NA,1,1,NA,0,NA,NA
1,NA,NA,NA,NA,2,1,NA,NA,NA,NA
19,"13",0,0,NA,2,2,0,0,0,TRUE
18,"18",0,5000,27,2,1,5000,5000,NA,NA
20,"18",0,3000,30,2,1,3000,3000,NA,NA
15,"12",0,0,NA,2,1,NA,0,NA,NA
15,"11",0,0,NA,2,2,NA,0,NA,NA
84,"16",25000,0,NA,1,1,0,45000,NA,NA
36,"11",0,0,NA,2,1,0,0,0,TRUE
47,"16",0,2000,33,2,2,2000,2000,NA,NA
20,"16",0,0,NA,2,1,0,0,NA,NA
22,"17",0,22000,45,2,1,22000,22000,171,FALSE
60,"16",3400,0,NA,1,1,0,3400,26,TRUE
18,"18",0,1500,20,2,1,1500,1500,NA,NA
27,"18",0,0,NA,1,2,0,0,NA,NA
21,"19",0,0,NA,2,1,0,0,NA,NA
28,"19",0,7500,40,2,2,7500,7500,NA,NA
22,"19",0,7500,40,2,1,7500,7500,NA,NA
18,"20",0,400,10,2,1,400,400,NA,NA
21,"19",0,12000,25,2,1,12000,12000,NA,NA
55,"17",0,2700,42,2,1,2700,2700,20,TRUE
29,"18",0,20000,50,2,2,20000,20000,NA,NA
29,"01",0,80,8,2,1,80,80,NA,NA
23,"19",0,8000,20,1,1,8000,8000,NA,NA
18,"13",0,700,20,1,1,700,700,NA,NA
66,"16",0,0,NA,1,1,0,8400,NA,NA
21,"01",0,0,NA,1,1,0,9000,NA,NA
41,"16",0,4000,40,1,2,4000,4000,NA,NA
20,"16",0,0,NA,2,2,0,0,NA,NA
21,"19",0,5200,20,2,1,5200,5200,40,TRUE
60,"19",0,0,NA,1,1,0,0,NA,NA
51,"19",0,0,NA,2,2,0,0,NA,NA
38,"07",360,10000,20,1,1,10000,10360,80,TRUE
20,"19",0,800,11,2,1,800,800,NA,NA
17,"14",0,12500,24,2,1,12500,12640,97,TRUE
14,"12",NA,NA,NA,1,2,NA,NA,NA,NA
22,"19",0,30000,60,2,1,30000,30000,NA,NA
20,"19",0,1000,18,2,1,1000,1000,NA,NA
22,"19",0,7500,40,2,1,7500,7500,NA,NA
20,"18",0,1500,32,2,1,1500,1500,NA,NA
76,"19",14000,0,NA,1,1,0,14000,NA,NA
21,"18",0,700,20,2,1,700,700,NA,NA
31,"19",0,0,NA,1,2,0,600,NA,NA
20,"18",0,1000,20,2,1,1000,1000,NA,NA
19,"16",0,5800,22,2,1,5800,5800,NA,NA
24,"19",0,60000,60,2,1,60000,60000,NA,NA
15,"12",0,0,NA,2,1,NA,0,NA,NA
17,"13",0,0,NA,1,1,0,0,NA,NA
48,"22",0,1800,40,2,2,1800,1800,NA,NA
16,"14",0,0,NA,2,1,0,0,NA,NA
19,"16",0,9000,12,2,1,9000,9000,NA,NA
21,"19",0,0,NA,2,1,0,0,NA,NA
18,"18",0,5000,23,2,1,5000,5000,NA,NA
55,"16",0,0,NA,1,1,0,0,0,TRUE
19,"19",0,13000,37,2,1,13000,13000,NA,NA
34,"01",0,0,NA,1,1,0,0,NA,NA
25,"12",0,0,NA,2,2,0,0,NA,NA
19,"19",0,13100,40,2,1,13100,13100,NA,NA
27,"18",0,0,NA,1,2,0,0,NA,NA
21,"19",0,800,15,2,1,800,800,NA,NA
22,"18",0,10000,30,2,2,10000,10000,NA,NA
64,"16",0,0,NA,2,2,0,0,0,TRUE
27,"19",0,14000,18,2,1,14000,14000,NA,NA
51,"17",0,0,NA,1,1,0,6500,NA,NA
33,"22",0,40000,30,2,1,40000,40000,NA,NA
21,"19",0,4000,10,2,1,4000,4000,NA,NA
31,"20",0,27000,45,2,1,27000,27000,NA,NA
20,"19",0,3500,35,2,1,3800,3800,NA,NA
82,"16",25000,0,NA,1,1,0,45000,NA,NA
57,"01",0,0,NA,1,1,0,0,NA,NA
17,"14",0,0,NA,2,1,0,0,NA,NA
21,"18",0,7500,35,2,1,7500,7500,NA,NA
23,"19",0,3500,24,2,1,3500,3500,NA,NA
33,"22",0,40000,30,2,1,40000,40000,NA,NA
69,"16",10800,0,NA,1,1,0,10800,NA,NA
42,"16",0,0,NA,1,2,0,0,NA,NA
22,"19",0,7000,9,2,1,7000,7000,NA,NA
19,"16",0,9000,12,2,1,9000,9000,NA,NA
21,"19",0,12000,40,2,1,12000,12000,NA,NA
92,"14",16600,0,NA,1,1,0,25700,NA,NA
21,"19",0,3000,11,2,1,4000,4000,NA,NA
22,"19",0,30000,60,2,1,30000,30000,NA,NA
38,"19",0,0,NA,2,2,0,0,NA,NA
12,"09",NA,NA,NA,2,1,NA,NA,NA,NA
19,"19",0,680,17,2,1,680,680,NA,NA
18,"18",0,5000,50,2,1,5000,5000,NA,NA
26,"16",0,0,NA,1,1,0,0,NA,NA
19,"19",0,800,20,2,1,800,800,NA,NA
18,"18",0,4500,40,2,1,4500,4500,NA,NA
21,"19",0,4000,10,2,1,4000,4000,NA,NA
57,"19",720,0,NA,1,1,0,720,NA,NA
25,"21",0,20000,20,2,1,20000,20000,NA,NA
20,"19",0,7000,25,2,1,7000,7000,NA,NA
19,"18",0,7000,25,2,1,7000,7000,NA,NA
9,"07",NA,NA,NA,2,1,NA,NA,NA,NA
24,"18",0,2400,16,2,1,2400,2400,NA,NA
15,"12",0,0,NA,1,1,NA,0,NA,NA
87,"16",16800,0,NA,2,1,0,33600,NA,NA
23,"16",360,6000,20,1,1,6000,6360,49,TRUE
30,"18",0,0,NA,2,2,0,0,NA,NA
25,"16",0,25000,45,1,2,25000,25000,NA,NA
21,"19",0,9000,15,2,1,9000,9000,NA,NA
62,"16",17500,3600,20,1,1,3600,36400,283,FALSE
24,"16",0,800,30,2,2,800,800,NA,NA
92,"16",13500,0,NA,1,1,0,17400,NA,NA
67,"16",9500,0,NA,1,1,0,9500,NA,NA
25,"13",0,0,NA,1,1,0,0,NA,NA
40,"16",0,0,NA,1,1,0,0,0,TRUE
20,"19",0,5000,30,2,1,5000,5000,NA,NA
86,"16",8400,0,NA,1,1,0,8400,NA,NA
30,"13",0,15000,40,2,2,15000,15000,NA,NA
69,"16",10800,0,NA,1,1,0,10800,NA,NA
21,"18",0,0,NA,2,2,0,600,NA,NA
21,"19",0,3500,35,2,1,3500,3500,NA,NA
15,"12",0,0,NA,1,1,NA,0,NA,NA
30,"18",0,0,NA,2,2,0,0,NA,NA
16,"13",0,0,NA,2,1,0,0,NA,NA
17,"14",0,0,NA,2,1,0,0,NA,NA
80,"16",12100,0,NA,1,1,0,12100,NA,NA
9,"07",NA,NA,NA,2,1,NA,NA,NA,NA
19,"20",0,8000,20,1,1,8000,8000,NA,NA
18,"18",0,2800,20,2,1,2800,2800,NA,NA
69,"24",15000,0,NA,1,1,0,15000,125,FALSE
18,"16",0,1400,20,2,1,1400,1400,NA,NA
19,"19",0,1200,10,2,1,1200,1200,NA,NA
46,"14",0,5700,25,2,1,5700,5700,43,TRUE
22,"19",0,7500,40,2,1,7500,7500,NA,NA
20,"18",0,3000,30,2,1,3000,3000,NA,NA
21,"07",0,11000,84,1,1,11000,11000,NA,NA
20,"19",0,470,20,2,1,470,470,NA,NA
21,"18",0,40000,30,2,1,40000,40000,NA,NA
25,"19",0,15000,50,2,1,15000,15000,NA,NA
67,"16",9500,0,NA,1,1,0,9500,NA,NA
20,"19",0,7000,28,2,1,7000,7000,NA,NA
22,"19",0,3000,25,2,1,3000,3000,NA,NA
86,"16",8400,0,NA,1,1,0,8400,NA,NA
22,"19",0,7500,40,2,1,7500,7500,NA,NA
19,"18",0,2500,40,2,1,2500,2500,NA,NA
68,"16",15600,34000,40,1,1,34000,56200,NA,NA
21,"16",0,19000,40,2,1,19000,19000,NA,NA
23,"16",360,6000,20,1,1,6000,6360,49,TRUE
42,"16",0,0,NA,1,2,0,0,NA,NA
18,"19",0,5200,20,2,1,5200,5200,NA,NA
30,"18",0,0,NA,2,2,0,0,NA,NA
23,"18",0,15000,40,2,1,15000,15010,NA,NA
18,"19",0,2000,15,2,1,2000,2000,NA,NA
22,"19",0,20000,25,2,1,20000,20000,NA,NA
19,"19",0,0,NA,2,1,0,1200,NA,NA
18,"19",0,0,NA,2,1,0,0,NA,NA
18,"18",0,7000,20,2,1,7000,7000,NA,NA
19,"18",0,0,NA,2,1,0,0,NA,NA
55,"17",0,2700,42,2,1,2700,2700,20,TRUE
37,"18",0,0,NA,2,2,0,0,NA,NA
22,"19",0,7900,19,2,1,7900,7900,NA,NA
32,"17",0,0,NA,1,1,0,0,0,TRUE
19,"18",0,3000,40,2,1,3000,3000,NA,NA
32,"17",0,0,NA,1,1,0,0,0,TRUE
19,"19",0,13000,37,2,1,13000,13000,NA,NA
18,"19",0,7300,20,2,1,7300,7300,NA,NA
19,"18",0,3000,20,2,1,3000,3000,NA,NA
18,"18",0,2000,15,2,1,2000,2000,NA,NA
24,"19",0,12000,17,2,1,12000,12000,NA,NA
23,"18",0,26000,40,2,1,26000,26000,NA,NA
87,"12",34300,0,NA,1,1,0,36200,NA,NA
51,"14",0,500,15,2,1,500,1700,NA,NA
21,"20",0,17700,20,2,1,17700,17700,NA,NA
27,"17",0,0,NA,1,1,0,4300,NA,NA
25,"15",0,3000,40,2,1,3000,7800,60,TRUE
34,"20",0,25000,40,2,2,25000,25000,193,FALSE
19,"19",0,1200,20,2,1,1200,1200,NA,NA
86,"24",34300,0,NA,1,1,0,106300,NA,NA
25,"20",0,19200,27,2,2,19200,19200,NA,NA
21,"18",0,700,20,2,1,700,700,NA,NA
15,"11",0,0,NA,1,1,NA,0,NA,NA
18,"18",0,5000,28,2,1,5000,5000,NA,NA
27,"19",0,14000,18,2,1,14000,14000,NA,NA
56,"16",0,0,NA,2,1,0,0,NA,NA
21,"18",0,1500,20,2,1,1500,1500,NA,NA
18,"18",0,2000,20,2,1,2000,2000,NA,NA
21,"19",0,50,4,2,1,50,50,NA,NA
22,"19",0,11800,20,2,1,11800,11800,NA,NA
48,"16",10200,0,NA,1,1,0,10200,NA,NA
22,"19",0,20000,25,2,1,20000,20000,NA,NA
34,"01",0,0,NA,1,1,0,0,NA,NA
24,"19",0,0,NA,2,1,0,0,NA,NA
23,"19",0,0,NA,2,1,0,0,NA,NA
39,"18",0,28000,40,1,1,28000,38000,292,FALSE
56,"22",0,114000,40,2,1,114000,114000,501,FALSE
62,"22",0,60000,20,2,1,80000,80000,501,FALSE
25,"21",0,0,40,2,1,5000,5000,501,FALSE
44,"20",0,120000,60,2,1,120000,120000,296,FALSE
41,"21",0,0,NA,2,1,0,0,296,FALSE
15,"12",0,0,NA,2,1,NA,0,296,FALSE
13,"09",NA,NA,NA,2,1,NA,NA,296,FALSE
11,"08",NA,NA,NA,2,1,NA,NA,296,FALSE
